iter	Passed	Remaining
400	25555	38174
401	25604	38088
402	25682	38045
403	25777	38027
404	25880	38022
405	25944	37957
406	26010	37897
407	26427	38345
408	26536	38345
409	26611	38295
410	26646	38186
411	26685	38085
412	26757	38030
413	26792	37923
414	26850	37849
415	26884	37741
416	26924	37642
417	26953	37528
418	26984	37416
419	27009	37298
420	27056	37210
421	27083	37095
422	27120	36993
423	27145	36877
424	27172	36763
425	27206	36659
426	27239	36553
427	27310	36499
428	27374	36435
429	27415	36341
430	27517	36328
431	27550	36223
432	27583	36119
433	27637	36043
434	27686	35960
435	27715	35852
436	27751	35752
437	27781	35646
438	27811	35540
439	27840	35432
440	27873	35331
441	27916	35243
442	27946	35138
443	27989	35050
444	28019	34945
445	28046	34838
446	28080	34739
447	28112	34639
448	28147	34541
449	28261	34541
450	28382	34549
451	28630	34711
452	28851	34837
453	29052	34939
454	29175	34946
455	29369	35037
456	29453	34995
457	29489	34897
458	29518	34792
459	29558	34699
460	29586	34592
461	29613	34484
462	29644	34382
463	29674	34278
464	29701	34172
465	29736	34076
466	29782	33991
467	29832	33912
468	29903	33856
469	29939	33761
470	29972	33663
471	30009	33569
472	30042	33471
473	30080	33380
474	30108	33277
475	30133	33172
476	30162	33071
477	30194	32973
478	30224	32874
479	30257	32778
480	30293	32687
481	30335	32601
482	30389	32528
483	30463	32477
484	30504	32391
485	30529	32288
486	30556	32187
487	30588	32092
488	30621	31999
489	30657	31909
490	30688	31813
491	30722	31721
492	30760	31634
493	30795	31544
494	30829	31452
495	30877	31375
496	30923	31297
497	30975	31224
498	31010	31134
499	31048	31048
500	31099	30975
501	31157	30908
502	31207	30835
503	31265	30769
504	31331	30710
505	31411	30666
506	31566	30694
507	31629	30633
508	31682	30562
509	31740	30496
510	31783	30414
511	31814	30322
512	31862	30247
513	31901	30163
514	31935	30075
515	31991	30007
516	32074	29964
517	32118	29886
518	32161	29806
519	32199	29722
520	32244	29645
521	32287	29566
522	32378	29530
523	32508	29530
524	32562	29461
525	32625	29400
526	32663	29316
527	32722	29251
528	32807	29210
529	32922	29195
530	32962	29113
531	33017	29045
532	33067	28972
533	33110	28894
534	33195	28851
535	33257	28790
536	33305	28715
537	33342	28632
538	33410	28575
539	33507	28543
540	33557	28471
541	33590	28384
542	33647	28318
543	33717	28263
544	33759	28184
545	33802	28107
546	33845	28028
547	33878	27943
548	33912	27859
549	33954	27780
550	33985	27694
551	34015	27606
552	34047	27520
553	34084	27439
554	34115	27353
555	34144	27266
556	34169	27176
557	34201	27091
558	34255	27024
559	34283	26937
560	34315	26853
561	34339	26762
562	34377	26684
563	34410	26600
564	34464	26534
565	34493	26449
566	34522	26363
567	34550	26277
568	34578	26191
569	34600	26102
570	34620	26010
571	34646	25924
572	34671	25836
573	34695	25749
574	34719	25662
575	34747	25577
576	34778	25495
577	34827	25427
578	34856	25344
579	34879	25257
580	34909	25175
581	34947	25099
582	34970	25013
583	34995	24928
584	35034	24853
585	35064	24772
586	35105	24699
587	35133	24617
588	35163	24536
589	35192	24456
590	35223	24376
591	35253	24296
592	35278	24213
593	35306	24132
594	35424	24112
595	35771	24247
596	35874	24217
597	35984	24190
598	36107	24172
599	36193	24128
600	36299	24098
601	36405	24068
602	36483	24020
603	36532	23951
604	36571	23877
605	36598	23794
606	36633	23718
607	36664	23639
608	36710	23569
609	36750	23495
610	36774	23412
611	36810	23337
612	36839	23257
613	36867	23177
614	36908	23105
615	36940	23027
616	37000	22967
617	37050	22901
618	37084	22826
619	37117	22749
620	37150	22673
621	37196	22604
622	37225	22526
623	37252	22447
624	37282	22369
625	37311	22291
626	37343	22215
627	37375	22139
628	37432	22078
629	37463	22002
630	37492	21925
631	37520	21847
632	37544	21767
633	37568	21687
634	37603	21614
635	37626	21534
636	37687	21476
637	37720	21402
638	37770	21338
639	37797	21261
640	37825	21184
641	37865	21114
642	37918	21052
643	37952	20980
644	37988	20908
645	38021	20835
646	38051	20760
647	38074	20682
648	38103	20607
649	38130	20532
650	38157	20456
651	38185	20381
652	38210	20304
653	38237	20229
654	38275	20160
655	38353	20112
656	38387	20040
657	38437	19978
658	38468	19905
659	38492	19829
660	38524	19757
661	38554	19685
662	38580	19610
663	38606	19535
664	38633	19462
665	38660	19388
666	38691	19316
667	38723	19245
668	38755	19174
669	38790	19105
670	38819	19033
671	38860	18967
672	38885	18893
673	38910	18820
674	38945	18751
675	38979	18682
676	39007	18610
677	39034	18538
678	39058	18465
679	39086	18393
680	39120	18325
681	39152	18256
682	39180	18184
683	39213	18116
684	39240	18044
685	39262	17971
686	39294	17902
687	39323	17832
688	39357	17765
689	39389	17696
690	39433	17633
691	39463	17564
692	39491	17494
693	39524	17427
